"","PROBEID","GENENAME","ORF"
"533","10532_at","KTR2","YKR061W"
"534","10533_at","MIC60","YKR016W"
"535","10534_at","HEL1","YKR017C"
"536","10535_at",NA,"YKR018C"
"537","10536_at","IRS4","YKR019C"
"538","10537_at","VPS51","YKR020W"
"539","10538_at","ALY1","YKR021W"
"540","10539_at","NTR2","YKR022C"
"541","10540_at",NA,"YKR023W"
"542","10541_at","DBP7","YKR024C"
"543","10542_at","RPC37","YKR025W"
"544","10543_at","GCN3","YKR026C"
"545","10544_at","BCH2","YKR027W"
"546","10545_at","SAP190","YKR028W"
"547","10546_at","SET3","YKR029C"
"548","10547_at","GMH1","YKR030W"
"549","10548_at","SPO14","YKR031C"
"550","10549_at",NA,"YKR032W"
"551","10550_at",NA,"YKR033C"
"552","10551_at","DAL80","YKR034W"
"553","10552_at","DID2","YKR035W-A"
"554","10553_at","CAF4","YKR036C"
"555","10554_at","SPC34","YKR037C"
"556","10555_at","SFT1","YKL006C-A"
"557","10556_i_at","RPL14A","YKL006W"
"558","10557_f_at","RPL14A","YKL006W"
"559","10558_s_at","RPL14A","YKL006W"
"560","10559_at","BYE1","YKL005C"
"561","10560_at","AUR1","YKL004W"
"562","10561_at","MRP17","YKL003C"
"563","10562_at","DID4","YKL002W"
"564","10563_at","MET14","YKL001C"
"565","10564_at","VPS1","YKR001C"
"566","10565_at","PAP1","YKR002W"
"567","10566_at","OSH6","YKR003W"
"568","10567_at","ECM9","YKR004C"
"569","10568_at",NA,"YKR005C"
"570","10569_at","MRPL13","YKR006C"
"571","10570_at","MEH1","YKR007W"
"572","10571_at","RSC4","YKR008W"
"573","10572_at","FOX2","YKR009C"
"574","10573_at","TOF2","YKR010C"
"575","10574_at",NA,"YKR011C"
"576","10575_at",NA,"YKR012C"
"577","10576_at","PRY2","YKR013W"
"578","10577_at","YPT52","YKR014C"
"579","10578_at",NA,"YKR015C"
"580","10579_at","TFA1","YKL028W"
"581","10580_at","TCD2","YKL027W"
"582","10581_at","GPX1","YKL026C"
"583","10582_at","PAN3","YKL025C"
"584","10583_at","URA6","YKL024C"
"585","10584_at",NA,"YKL023W"
"586","10585_at","CDC16","YKL022C"
"587","10586_at","MAK11","YKL021C"
"588","10587_at","SPT23","YKL020C"
"589","10588_at","RAM2","YKL019W"
"590","10589_at","SWD2","YKL018W"
"591","10590_at","HCS1","YKL017C"
"592","10591_at","ATP7","YKL016C"
"593","10592_at","PUT3","YKL015W"
"594","10593_at","URB1","YKL014C"
"595","10594_at","ARC19","YKL013C"
"596","10595_at","PRP40","YKL012W"
"597","10596_at","CCE1","YKL011C"
"598","10597_at","UFD4","YKL010C"
"599","10598_at","MRT4","YKL009W"
"600","10599_at","LAC1","YKL008C"
"601","10600_at","CAP1","YKL007W"
"602","10601_at","SFK1","YKL051W"
"603","10602_at",NA,"YKL050C"
"604","10603_at","CSE4","YKL049C"
"605","10604_at","ELM1","YKL048C"
"606","10605_at","ANR2","YKL047W"
"607","10606_at","DCW1","YKL046C"
"608","10607_at","PRI2","YKL045W"
"609","10608_at","MMO1","YKL044W"
"610","10609_at","PHD1","YKL043W"
"611","10610_at","SPC42","YKL042W"
"612","10611_at","VPS24","YKL041W"
"613","10612_at","NFU1","YKL040C"
"614","10613_at","PTM1","YKL039W"
"615","10614_at","RGT1","YKL038W"
"616","10615_at","AIM26","YKL037W"
"617","10616_at",NA,"YKL036C"
"618","10617_at","UGP1","YKL035W"
"619","10618_at","TUL1","YKL034W"
"620","10619_at","TTI1","YKL033W"
"621","10620_at","IXR1","YKL032C"
"622","10621_at",NA,"YKL031W"
"623","10622_at",NA,"YKL030W"
"624","10623_at","MAE1","YKL029C"
"625","10624_at","STB6","YKL072W"
"626","10625_at",NA,"YKL071W"
"627","10626_at",NA,"YKL070W"
"628","10627_at",NA,"YKL069W"
"629","10628_at","NUP100","YKL068W"
"630","10629_at","YNK1","YKL067W"
"631","10630_at",NA,"YKL066W"
"632","10631_at","YET1","YKL065C"
"633","10632_at","MNR2","YKL064W"
"634","10633_at",NA,"YKL063C"
"635","10634_at","MSN4","YKL062W"
"636","10635_at","BLI1","YKL061W"
"637","10636_at","FBA1","YKL060C"
"638","10637_at","MPE1","YKL059C"
"639","10638_at","TOA2","YKL058W"
"640","10639_at","NUP120","YKL057C"
"641","10640_at","TMA19","YKL056C"
"642","10641_at","OAR1","YKL055C"
"643","10642_at","DEF1","YKL054C"
"644","10643_at","MDM35","YKL053C-A"
"645","10644_at",NA,"YKL053W"
"646","10645_at","ASK1","YKL052C"
"647","10646_at","MBR1","YKL093W"
"648","10647_at","BUD2","YKL092C"
"649","10648_at",NA,"YKL091C"
"650","10649_at","CUE2","YKL090W"
"651","10650_at","MIF2","YKL089W"
"652","10651_at","CAB3","YKL088W"
"653","10652_at","CYT2","YKL087C"
"654","10653_at","SRX1","YKL086W"
"655","10654_at","MDH1","YKL085W"
"656","10655_at","HOT13","YKL084W"
"657","10656_at","RRP14","YKL082C"
"658","10657_at",NA,"YKL083W"
"659","10658_at","TEF4","YKL081W"
"660","10659_at","TEF4","YKL081W"
"661","10660_at","VMA5","YKL080W"
"662","10661_at","SMY1","YKL079W"
"663","10662_at","DHR2","YKL078W"
"664","10663_at",NA,"YKL077W"
"665","10664_at","PSY1","YKL076C"
"666","10665_g_at","PSY1","YKL076C"
"667","10666_at",NA,"YKL075C"
"668","10667_at","MUD2","YKL074C"
"669","10668_at","LHS1","YKL073W"
"670","10669_at",NA,"YKL115C"
"671","10670_at","APN1","YKL114C"
"672","10671_at","RAD27","YKL113C"
"673","10672_at","ABF1","YKL112W"
"674","10673_at",NA,"YKL111C"
"675","10674_at","KTI12","YKL110C"
"676","10675_at","HAP4","YKL109W"
"677","10676_at","SLD2","YKL108W"
"678","10677_at",NA,"YKL107W"
"679","10678_at","AAT1","YKL106W"
"680","10679_at","SEG2","YKL105C"
"681","10680_at","GFA1","YKL104C"
"682","10681_at","APE1","YKL103C"
"683","10682_at",NA,"YKL102C"
"684","10683_at","HSL1","YKL101W"
"685","10684_at","YPF1","YKL100C"
"686","10685_at","UTP11","YKL099C"
"687","10686_at","MTC2","YKL098W"
"688","10687_at",NA,"YKL097C"
"689","10688_at",NA,NA
"690","10689_at","CWP1","YKL096W"
"691","10690_at","YJU2","YKL095W"
"692","10691_at","YJU3","YKL094W"
"693","10692_at",NA,"YKL136W"
"694","10693_at","APL2","YKL135C"
"695","10694_at","OCT1","YKL134C"
"696","10695_at",NA,"YKL133C"
"697","10696_at","RMA1","YKL132C"
"698","10697_at",NA,"YKL131W"
"699","10698_at","SHE2","YKL130C"
"700","10699_at","MYO3","YKL129C"
"701","10700_at","PMU1","YKL128C"
"702","10701_at","PGM1","YKL127W"
"703","10702_at","YPK1","YKL126W"
"704","10703_at","RRN3","YKL125W"
"705","10704_at","SSH4","YKL124W"
"706","10705_g_at","SSH4","YKL124W"
"707","10706_at",NA,"YKL123W"
"708","10707_at","SRP21","YKL122C"
"709","10708_at","DGR2","YKL121W"
"710","10709_at","OAC1","YKL120W"
"711","10710_at","VPH2","YKL119C"
"712","10711_at",NA,"YKL118W"
"713","10712_at","SBA1","YKL117W"
